Comments in Javascript;// Comment something;javascript
Multiline comments;/*Text xzy*/;javascript
"Declare and assign string (possible with """" or '') - ""var"" was the earlier version in the past for that";"let intStr = ""7""";javascript
Linebreak and Tab should not used - is morely css-stuff for formating;"""/n /t""";javascript
Declare a variable and assign int (also signed int like -36);let age = 25;javascript
Defining without assigning (var gets value undefined);let var;javascript
Declare a constant and assign int (constant can not be changed like variables);const age = 25;javascript
Declare and assign float (also signed float like +4.5763;let float = 5.14876;javascript
Change String to Int with base 10;"let intNum = parseInt(intStr,10);";javascript
Declare and assign string;"let floatStr = ""5.14673""";javascript
Change String to Float;"let floatNum = parseFloat(floatStr);";javascript
"Defines+Assigns a variable (if user exists/has a value use that - otherwise initialize with ""guest""";"let v = user || ""guest""";javascript
Open windows for entering something and store in const inp;"const inp = prompt(""Enter:"")";javascript
Convert numeric value to string;num.toString();javascript
2nd method to convert numeric value to string;"num + """"";javascript
3rd method to convert number / int to a String;String(n);javascript
Converts String to Number / Int;Number(s);javascript
Shows the type of the variable (eg. number, string, boolean);typeof x;javascript
Modulo / Rest of the division (=> 1);7 % 2;javascript
Check 2 values / variables (result in true / false);x == y;javascript
Equal value and equal type;x === y;javascript
Not equal;x != y;javascript
Not equal value and not equal type;x !== y;javascript
Greater, lesser, greater + equal , lesser + equal;>,<,>=,<=;javascript
Check if value is NaN (NotANumber) - eg. when converting with Number() and the value is no number;isNaN(x);javascript
Check if n is a integer;Number.isInteger(n);javascript
Makes variable +1;"num++;";javascript
Outputs variable num in console;console.log(num);javascript
Outputs element as table (eg. for objects, arrays);console.table(object);javascript
Alert information in a window;"alert(""Text!"")";javascript
"Alert some text with outputing the variable ""name"" between (using backticks ""`""";alert(`Bla ${name} bla`);javascript
Round to 2 decimal digits;n = n.toFixed(2);javascript
Define a string;"let s = ""this is a test""";javascript
String with linebreak \n;"let s = ""this \n text""";javascript
show the whole string;s[0];javascript
extracht only the first character;s[0,1];javascript
last char of a string;s[-1];javascript
slicing 2 chars from pos 3 and 4;s.slice[3,5];javascript
slice from pos 3 to the end;s.slice[3];javascript
shows the length of the string;s.length;javascript
Lowercase the whole string;s.toLowerCase();javascript
Uppercase the whole string;s.toUpperCase();javascript
Returns the second char of a string;s.charAt(1);javascript
"Search if ""xyz"" is int the string - returns the position where found - when not found returns -1";"s.search(""xyz"")";javascript
Check if string/chars are in;"s.includes(""ee"")";javascript
"Replace ""abc"" with ""xyz"" for any occurrences in the string (only working for new browsers!)";"sNew = s.replaceAll(""abc"",""xyy)";javascript
2nd method for replacing everything (works for more browsers!);"sNew = s.replace(/abc/g,""xyz"")";javascript
Delete all whitespaces at the beginning and the end;s.trim();javascript
Repeat string 3 times;s.repeat(3);javascript
Split the words in a array;"s.split("" "")";javascript
Delete all whitespaces at the beginning and the end;s.trim();javascript
